bet365,Skybet,Paddy Power,William Hill,888sport,Betfair Sportsbook,BetVictor,Coral,Unibet,Spreadex,Betfred,BetMGM UK,BoyleSports,10bet,Star Sports,BetUK,Sporting Index,LiveScore Bet,QuinnBet,Betway,Ladbrokes,Midnite,BetGoodwin,VBet,AK Bets,Betfair,Matchbook,team
3.0,3.0,3.0,3.0,3.0,3.0,2.75,3.0,3.0,3.0,3.0,3.0,3.0,2.75,2.75,3.0,3.0,3.0,3.0,2.75,3.0,3.0,3.0,3.0,3.2,3.0,3.0,England
4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,4.0,4.0,4.25,4.3,4.3,France
5.5,4.5,4.5,5.5,5.5,4.5,5.0,4.5,5.5,4.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.0,5.5,5.5,5.5,5.68,5.68,Germany
8.0,8.0,7.5,8.0,8.0,7.5,8.0,7.5,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.5,8.0,8.0,8.0,8.0,7.84,8.03,Portugal
8.0,8.0,7.5,8.0,8.0,7.5,8.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,8.61,8.61,Spain
14.0,14.0,18.0,18.0,18.0,18.0,16.0,16.0,14.0,16.0,14.0,14.0,16.0,14.0,18.0,14.0,16.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,18.0,18.6,18.6,Italy
16.0,18.0,18.0,16.0,16.0,18.0,18.0,16.0,14.0,16.0,16.0,14.0,16.0,16.0,18.0,14.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,14.0,18.0,21.0,21.0,Netherlands
16.0,20.0,18.0,20.0,20.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,22.0,23.0,23.0,Belgium
40.0,40.0,40.0,40.0,40.0,40.0,33.0,33.0,40.0,33.0,40.0,40.0,33.0,40.0,40.0,40.0,33.0,40.0,40.0,40.0,33.0,40.0,40.0,40.0,45.0,46.0,46.0,Croatia
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,33.0,45.0,45.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,55.0,58.0,58.0,Denmark
66.0,66.0,80.0,80.0,80.0,80.0,80.0,66.0,66.0,50.0,66.0,66.0,66.0,75.0,80.0,66.0,50.0,66.0,66.0,66.0,66.0,50.0,66.0,66.0,85.0,87.0,87.0,Switzerland
80.0,66.0,80.0,80.0,80.0,80.0,50.0,50.0,80.0,50.0,80.0,80.0,66.0,75.0,80.0,80.0,50.0,80.0,80.0,80.0,50.0,75.0,80.0,80.0,85.0,82.0,82.0,Austria
50.0,80.0,66.0,50.0,50.0,66.0,50.0,50.0,50.0,66.0,50.0,50.0,50.0,50.0,80.0,50.0,66.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,90.0,117.0,117.0,Turkey
80.0,66.0,80.0,80.0,80.0,80.0,100.0,66.0,66.0,66.0,80.0,66.0,80.0,80.0,80.0,66.0,66.0,66.0,80.0,80.0,66.0,70.0,80.0,66.0,110.0,175.0,166.0,Serbia
100.0,100.0,125.0,100.0,100.0,125.0,80.0,66.0,100.0,50.0,100.0,100.0,80.0,100.0,125.0,100.0,50.0,100.0,100.0,100.0,66.0,100.0,100.0,100.0,110.0,117.0,117.0,Ukraine
80.0,150.0,150.0,80.0,80.0,150.0,80.0,80.0,80.0,125.0,80.0,80.0,66.0,80.0,150.0,80.0,125.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,150.0,166.0,166.0,Hungary
100.0,150.0,150.0,100.0,100.0,150.0,80.0,100.0,100.0,150.0,125.0,100.0,100.0,100.0,150.0,100.0,150.0,100.0,100.0,100.0,100.0,70.0,100.0,80.0,175.0,244.0,244.0,Scotland
150.0,100.0,200.0,150.0,150.0,200.0,150.0,100.0,150.0,80.0,150.0,150.0,150.0,150.0,175.0,150.0,80.0,150.0,150.0,150.0,100.0,100.0,150.0,150.0,175.0,264.0,264.0,Czech Republic
150.0,150.0,200.0,100.0,100.0,200.0,125.0,150.0,150.0,200.0,125.0,150.0,80.0,150.0,175.0,150.0,200.0,150.0,150.0,150.0,150.0,100.0,150.0,150.0,200.0,264.0,264.0,Poland
200.0,180.0,200.0,125.0,125.0,200.0,200.0,150.0,200.0,150.0,175.0,200.0,150.0,200.0,300.0,200.0,150.0,200.0,200.0,200.0,150.0,200.0,200.0,200.0,175.0,175.0,175.0,Romania
500.0,250.0,500.0,500.0,500.0,500.0,500.0,250.0,500.0,500.0,500.0,500.0,200.0,450.0,500.0,500.0,500.0,500.0,450.0,200.0,250.0,500.0,450.0,500.0,625.0,881.0,881.0,Slovakia
250.0,200.0,500.0,250.0,250.0,500.0,250.0,200.0,250.0,400.0,200.0,250.0,300.0,250.0,500.0,250.0,400.0,250.0,250.0,250.0,200.0,250.0,250.0,250.0,625.0,812.0,803.0,Slovenia
500.0,500.0,500.0,500.0,500.0,500.0,750.0,500.0,500.0,500.0,500.0,500.0,250.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,750.0,871.0,871.0,Georgia
500.0,750.0,500.0,500.0,500.0,500.0,500.0,250.0,500.0,500.0,400.0,500.0,500.0,450.0,750.0,500.0,500.0,500.0,450.0,350.0,250.0,250.0,450.0,500.0,750.0,881.0,832.0,Albania
