group,team,code,bet365,Skybet,Paddy Power,William Hill,888sport,Betfair Sportsbook,BetVictor,Coral,Unibet,Spreadex,Betfred,BetMGM UK,BoyleSports,10bet,Star Sports,BetUK,Sporting Index,LiveScore Bet,QuinnBet,Betway,Ladbrokes,Midnite,BetGoodwin,VBet,AK Bets,Betfair,Matchbook
C,England,ENG ,3.3333333333333335,3.3333333333333335,3.0,3.5,3.5,3.0,3.0,3.3333333333333335,3.5,3.0,4.0,3.5,3.0,3.0,2.75,3.5,3.0,3.5,3.2,3.3333333333333335,3.3333333333333335,3.0,3.2,3.5,3.2,3.5,3.5
D,France,FRA ,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,3.75,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,4.0,4.0,4.25,4.3,4.3
A,Germany,GER,5.5,5.0,4.5,5.5,5.5,4.5,5.0,4.5,5.5,4.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.0,5.5,5.5,5.5,5.68,5.68
F,Portugal,POR,7.0,7.5,7.5,7.0,7.0,7.5,7.0,7.0,7.5,7.0,7.0,7.5,7.0,7.0,8.0,7.5,7.0,7.5,7.0,7.5,7.0,8.0,7.0,7.5,8.0,7.44,7.44
B,Spain,ESP,8.0,8.0,7.5,8.0,8.0,7.5,8.0,7.0,8.0,8.0,7.0,8.0,8.0,6.5,8.0,8.0,8.0,8.0,7.5,8.0,7.0,8.0,7.5,8.0,9.0,7.84,7.84
B,Italy,ITA,14.0,12.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,18.0,16.0,16.0,16.0,14.0,16.0,16.0,14.0,14.0,16.0,18.0,18.6,18.6
D,Netherlands,NED,16.0,18.0,18.0,16.0,16.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,21.0,21.0
E,Belgium,BEL ,16.0,20.0,18.0,20.0,20.0,18.0,18.0,16.0,20.0,16.0,18.0,20.0,16.0,16.0,20.0,20.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,20.0,22.0,22.0,21.0
B,Croatia,CRO,40.0,33.0,40.0,40.0,40.0,40.0,33.0,33.0,40.0,33.0,40.0,40.0,33.0,40.0,40.0,40.0,33.0,40.0,40.0,33.0,33.0,40.0,40.0,40.0,45.0,42.0,42.0
C,Denmark,DEN ,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,33.0,45.0,45.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,55.0,53.0,53.0
