round;team1;team2;n;p
Final;GER;GEO;14;0.000140
Final;NED;ENG;3745;0.037450
Final;ALB;ENG;29;0.000290
Final;POL;AUT;3;0.000030
Final;ESP;CZE;1;0.000010
Final;GER;UKR;2;0.000020
Final;UKR;ENG;1742;0.017420
Final;DEN;ENG;1190;0.011900
Final;GEO;FRA;381;0.003810
Final;TUR;FRA;20;0.000200
Final;ESP;ENG;6585;0.065850
Final;CRO;ENG;2463;0.024630
Final;GER;ENG;8604;0.086040
Final;POR;FRA;6082;0.060820
Final;CZE;ROU;94;0.000940
Final;ITA;TUR;1;0.000010
Final;UKR;GEO;1;0.000010
Final;ESP;NED;4;0.000040
Final;SRB;SVK;33;0.000330
Final;POL;ROU;4;0.000040
Final;SRB;SUI;203;0.002030
Final;DEN;TUR;119;0.001190
Final;GER;SCO;1;0.000010
Final;ROU;FRA;1;0.000010
Final;SRB;FRA;1207;0.012070
Final;DEN;HUN;96;0.000960
Final;SRB;BEL;388;0.003880
Final;CRO;GEO;5;0.000050
Final;NED;TUR;407;0.004070
Final;GEO;POL;51;0.000510
Final;ESP;TUR;674;0.006740
Final;TUR;POL;6;0.000060
Final;AUT;GEO;2;0.000020
Final;SRB;DEN;3;0.000030
Final;POL;NED;1;0.000010
Final;CZE;ENG;1113;0.011130
Final;DEN;ITA;299;0.002990
Final;POR;POL;233;0.002330
Final;POL;ITA;9;0.000090
Final;SCO;FRA;1;0.000010
Final;DEN;ROU;59;0.000590
Final;CZE;POL;4;0.000040
Final;NED;HUN;383;0.003830
Final;UKR;BEL;446;0.004460
Final;NED;ROU;229;0.002290
Final;ALB;BEL;2;0.000020
Final;GER;NED;8;0.000080
Final;UKR;SUI;223;0.002230
Final;UKR;SVK;56;0.000560
Final;SRB;ROU;81;0.000810
Final;POL;FRA;25;0.000250
Final;AUT;SUI;11;0.000110
Final;ESP;ROU;441;0.004410
Final;ESP;HUN;644;0.006440
Final;UKR;FRA;1499;0.014990
Final;ITA;ENG;1;0.000010
Final;SRB;ITA;407;0.004070
Final;GER;TUR;951;0.009510
Final;NED;ITA;1005;0.010050
Final;AUT;SVK;1;0.000010
Final;DEN;BEL;235;0.002350
Final;ESP;ITA;1693;0.016930
Final;SRB;HUN;146;0.001460
Final;ALB;FRA;17;0.000170
Final;GER;HUN;887;0.008870
Final;UKR;DEN;1;0.000010
Final;GEO;BEL;99;0.000990
Final;ESP;POL;222;0.002220
Final;CRO;DEN;1;0.000010
Final;CRO;SVK;54;0.000540
Final;AUT;BEL;10;0.000100
Final;NED;AUT;219;0.002190
Final;SRB;POL;10;0.000100
Final;GER;CZE;4;0.000040
Final;DEN;POL;74;0.000740
Final;POR;BEL;1649;0.016490
Final;CRO;SUI;333;0.003330
Final;POR;DEN;4;0.000040
Final;GEO;DEN;1;0.000010
Final;CRO;BEL;618;0.006180
Final;AUT;DEN;1;0.000010
Final;HUN;FRA;1;0.000010
Final;AUT;FRA;43;0.000430
Final;SRB;AUT;124;0.001240
Final;TUR;ITA;6;0.000060
Final;GEO;SUI;47;0.000470
Final;CRO;FRA;2130;0.021300
Final;TUR;ROU;3;0.000030
Final;ESP;AUT;367;0.003670
Final;GEO;SVK;27;0.000270
Final;POR;SUI;970;0.009700
Final;CZE;BEL;257;0.002570
Final;POR;SVK;187;0.001870
Final;CZE;SUI;162;0.001620
Final;CZE;FRA;1009;0.010090
Final;GER;POL;266;0.002660
Final;CZE;SVK;11;0.000110
Final;NED;POL;118;0.001180
Final;ALB;POL;2;0.000020
Final;POL;GEO;1;0.000010
Final;AUT;POL;10;0.000100
Final;AUT;ITA;13;0.000130
Final;UKR;POL;46;0.000460
Final;HUN;ENG;2;0.000020
Final;DEN;FRA;949;0.009490
Final;SRB;ENG;1452;0.014520
Final;ESP;SUI;900;0.009000
Final;DEN;SUI;141;0.001410
Final;POR;UKR;1;0.000010
Final;ESP;DEN;1;0.000010
Final;ESP;SVK;163;0.001630
Final;ESP;FRA;5725;0.057250
Final;AUT;ROU;6;0.000060
Final;SRB;TUR;158;0.001580
Final;CRO;POL;63;0.000630
Final;POL;DEN;1;0.000010
Final;UKR;AUT;103;0.001030
Final;GER;ITA;2338;0.023380
Final;POR;GEO;8;0.000080
Final;POL;BEL;8;0.000080
Final;DEN;SVK;29;0.000290
Final;ESP;BEL;1511;0.015110
Final;UKR;ITA;460;0.004600
Final;GER;AUT;535;0.005350
Final;DEN;AUT;48;0.000480
Final;GER;ROU;553;0.005530
Final;NED;FRA;3269;0.032690
Final;CRO;AUT;164;0.001640
Final;POL;SUI;6;0.000060
Final;GER;ALB;3;0.000030
Final;TUR;ENG;29;0.000290
Final;ROU;TUR;1;0.000010
Final;GEO;ENG;460;0.004600
Final;UKR;ROU;137;0.001370
Final;POR;ENG;7058;0.070580
Final;HUN;ESP;1;0.000010
Final;TUR;SCO;1;0.000010
Final;GER;SVK;220;0.002200
Final;GER;DEN;4;0.000040
Final;GER;FRA;7534;0.075340
Final;UKR;HUN;153;0.001530
Final;POL;TUR;1;0.000010
Final;NED;DEN;1;0.000010
