group;first;second;third;forth;n;p
A;GER;SCO;SUI;HUN;11;0.000110
A;GER;HUN;SUI;SCO;45588;0.455880
A;GER;SUI;HUN;SCO;52577;0.525770
A;GER;SCO;HUN;SUI;139;0.001390
A;GER;SUI;SCO;HUN;1626;0.016260
A;GER;HUN;SCO;SUI;59;0.000590
B;ITA;ESP;ALB;CRO;1;0.000010
B;ESP;ALB;ITA;CRO;10;0.000100
B;ESP;ITA;ALB;CRO;1047;0.010470
B;ESP;ITA;CRO;ALB;98933;0.989330
B;CRO;ESP;ALB;ITA;1;0.000010
B;ALB;CRO;ESP;ITA;1;0.000010
B;ESP;ALB;CRO;ITA;2;0.000020
B;ESP;CRO;ALB;ITA;3;0.000030
B;ALB;ESP;ITA;CRO;2;0.000020
C;ENG;DEN;SVN;SRB;2550;0.025500
C;ENG;SRB;SVN;DEN;10;0.000100
C;ENG;SVN;SRB;DEN;1;0.000010
C;ENG;DEN;SRB;SVN;41072;0.410720
C;ENG;SRB;DEN;SVN;56366;0.563660
C;ENG;SVN;DEN;SRB;1;0.000010
D;FRA;AUT;NED;POL;133;0.001330
D;FRA;POL;NED;AUT;298;0.002980
D;FRA;AUT;POL;NED;1546;0.015460
D;FRA;NED;POL;AUT;13574;0.135740
D;FRA;NED;AUT;POL;83771;0.837710
D;POL;AUT;FRA;NED;1;0.000010
D;FRA;POL;AUT;NED;677;0.006770
E;BEL;UKR;ROU;SVK;72309;0.723090
E;UKR;SVK;ROU;BEL;1;0.000010
E;BEL;UKR;SVK;ROU;27586;0.275860
E;BEL;SVK;UKR;ROU;18;0.000180
E;BEL;SVK;ROU;UKR;9;0.000090
E;UKR;BEL;SVK;ROU;1;0.000010
E;UKR;ROU;BEL;SVK;1;0.000010
E;UKR;BEL;ROU;SVK;3;0.000030
E;SVK;BEL;ROU;UKR;1;0.000010
E;BEL;ROU;SVK;UKR;30;0.000300
E;BEL;ROU;UKR;SVK;37;0.000370
E;SVK;BEL;UKR;ROU;4;0.000040
F;POR;GEO;TUR;CZE;1343;0.013430
F;POR;GEO;CZE;TUR;63;0.000630
F;POR;TUR;CZE;GEO;71635;0.716350
F;POR;TUR;GEO;CZE;26731;0.267310
F;POR;CZE;TUR;GEO;153;0.001530
F;POR;CZE;GEO;TUR;74;0.000740
F;TUR;POR;CZE;GEO;1;0.000010
